ID,Paper URL,Name of the Approach,Exact Quote from the paper,Assumption's Precondition,Assumption's Condition,Assumption's Outcome
A1,https://dl.acm.org/doi/abs/10.1145/3564625.3567989,CryptoGo,"To improve program analysis efficiency, we first convert the input Go project program file with different architectures to an unified intermediate representation (IR) format (i.e., SSA form) by taking advantage of “buildssa” package [39] of Go, thus obtaining the information flow (including control flow and data flow) graph of Go programs.",Taint analyzer are used to track dangerous flows of untrusted inputs into sensitive destinations (information flow tracking),Using the buildssa package to convert input Go project files into a unified intermediate representation (SSA form) that captures both control flow and data flow graphs of the programs.,improves program analysis efficiency
A2,https://dl.acm.org/doi/abs/10.1145/3564625.3567989,CryptoGo,"To improve detection accuracy, we derive 12 cryptographic rules from the implementation flaws of the official Go cryptographic library. Also, CryptoGo can detect all the used cryptographic algorithms in the input Go project, and provide guidance of selecting appropriate algorithms based on their security strengths and security vulnerabilities.",The official Go cryptographic library contains implementation flaws that can be used to identify vulnerable code patterns.,Having 12 cryptographic rules from the implementation flaws of the official Go cryptographic library,Improve detection accuracy
A3,https://dl.acm.org/doi/abs/10.1145/3564625.3567989,CryptoGo,"To improve detection efficiency, especially in the large-scale Go projects (may contain millions of lines of code), our first challenge during taint analysis  is how to precisely identify the sources and the sinks (i.e., the cryptographic APIs and arguments with potential misuse possibility).",Having large-scale Go projects with millions of lines of code,Having a precise method to identify the sources (cryptographic APIs) and sinks (arguments with potential misuse possibilities) during taint analysis,Improve detection efficiency
A4,https://dl.acm.org/doi/abs/10.1145/3564625.3567989,CryptoGo,"To improve detection efficiency, we should first map the cryptographic rules to the constructions of taint analyzers, which aims to capture sufficient conditions of proving cryptographic misuses.",,Having cryptographic rules mapped to the constructions of taint analyzers,improve detection efficiency (by capturing sufficient conditions of proving cryptographic misuses)
A5,https://dl.acm.org/doi/10.1145/3319535.3345659,CryptoGuard,"However, our manual analysis revealed that none of the new constants is a true positive, i.e., the new constants are false positives. Thus, the increase of the orthogonal exploration depth does not improve the recall in this specific experiment, causing a decrease in the F1 score.",,Having increased orthogonal exploration depth,Decreases the F1 score
A6,https://dl.acm.org/doi/10.1145/3319535.3345659,CryptoGuard,"For Android, CrySL is faster, partly because CrySL only analyzes the code that is reachable by an app’s life-cycle. In comparison, CryptoGuard also covers third-party libraries (regardless of lifecycle reachability) and produces more valid alerts.",,Using CryptoGuard to analyze 3rd party libraries in Android apps,Still produces higher number of valid alerts
A7,https://dl.acm.org/doi/10.1145/3319535.3345659,CryptoGuard,"CryptoGuard addresses the false positive problem with a set of refinement algorithms derived from empirical observations of common programming idioms and language restrictions. The refinements remove irrelevant resource identifiers, arguments about states of operations, constants on infeasible paths, and bookkeeping values. For eight of our rules, these refinement algorithms reduce the total number of alerts by 76% in Apache and 80% in Android (Figure 3).",Having constants which do not impact security,"Having refinement algorithms to remove irrelevant resource identifiers, arguments about states of operations, constants on infeasible paths, and bookkeeping values (Using refinement algorithms to remove constants which do not impact security)",Reduce false positive by 76 to 80% in Apache and Android apps
A9,https://dl.acm.org/doi/10.1145/3319535.3345659,CryptoGuard,"To confine inter-procedural backward slicing within security code regions, the analysis starts from cryptographic APIs and follows their influences recursively. This approach effectively skips the bulk of the functional code and substantially speeds up the analysis.",,Having the analysis started from a cryptographic API and recursively following their influences ,Saves time by skipping codes
A10,https://ieeexplore.ieee.org/abstract/document/10474052,Cryptolation,"We discussed and decided against creating a super control flow graph that incorporates all of the files in the project. While this approach would improve the recall and accuracy by identifying potential cryptographic API misuses across files6, we did not want to decrease performance.",,Creating a super control flow graph that incorporates all files in the project.,Improves recall and accuracy but decreases performance.
A11,https://ieeexplore.ieee.org/abstract/document/10474052,Cryptolation,Using the inference ability of Astroid allows us to go further with our data-flow analysis and increase the overall precision of Cryptolation. The inference ability we leverage allows us to statically predict what the value of the variable is without executing the code. We indicate whether the potential cryptographic misuse evaluation was made using inference and the variable inferences that led to the identification.,Astroid provides inference capabilities for Python code analysis,Cryptolation uses Astroid's inference ability to statically predict variable values without executing the code,increases the overall precision
A12,https://ieeexplore.ieee.org/abstract/document/10474052,Cryptolation,"Our detection streamlines the analysis by only analyzing what is necessary. Different from other SCA tools, we identify the imports that we have misuse patterns for and only scan for those. We call this an import-driven approach.... .....  .... Using an import-driven approach increases performance and does not sacrifice accuracy or precision. Only after we slice through the import usage do we verify if there is a cryptographic misuse.",The source code includes imports that align with known misuse patterns,Cryptolation uses an import-driven approach to focus analysis on relevant sections of the code,improves performance while maintaining accuracy and precision 
A13,https://dl.acm.org/doi/abs/10.1145/3661167.3661262,Semgrep*,"Individual SAST tools are typically limited by detecting only a subset of vulnerabilities [16, 19, 20]. Combining the use of multiple SAST tools is likely to detect the highest number of vulnerabilities [12, 16, 17, 21, 26].",,Combining the use of multiple SAST tools,Improves overall detection rate
A14,https://dl.acm.org/doi/abs/10.1145/3661167.3661262 ,Semgrep*,"Our findings suggest that SAST tools may be more suited for certain weakness types; while improving SAST tools is crucial, other vulnerability detection techniques should be incorporated to detect more vulnerabilities. This is corroborated by Elder et al. [16], who found that SAST tools, DAST tools, and manual analysis techniques were complementary.",,"Using a combination of different vulnerability detection techniques (SAST, DAST, manual analysis)",more comprehensive vulnerability detection
A15,https://dl.acm.org/doi/abs/10.1145/3661167.3661262,Semgrep*,"By editing the configuration of Semgrep, we were able to increase its detection rate from 15.3% (26/170) to 44.7% (76/170), an increase of 181%. Semgrep* detects all the vulnerabilities detected by each tool, and an additional 10 vulnerabilities not detected by any other tool.
Semgrep* offers better detection rates than combining multiple SAST tools using their standard configuration. Configuring a single tool offers better detection rates, and produces fewer warnings than using a suite of tools, as it does not produce duplicate warnings between tools.",The baseline configuration of Semgrep has limited detection rules and patterns,Configuring and extending Semgrep's rule set,"increase its detection rate from 15.3% to 44.7%,"
A16,https://www.usenix.org/conference/raid2019/presentation/zhang-li,CryptoRex,"To reduce the time consumption of IR conversion, CRYPTOREX first filters out the binary files that do not invoke the crypto APIs. Specifically, we use Buildroot [3], a cross-compilation tool, to analyze the header information of each file to check whether cryptography libraries are included. If the cryptography libraries are not included, we then ignore the binary file.",,Filtering by checking whether cryptography libraries are included,Reduced analysis time by avoiding irrelevant binaries
A17,https://www.usenix.org/conference/raid2019/presentation/zhang-li,CryptoRex,"In practice, the filter utilizes the API data extracted from seven widely used open-source C/C++ cryptography libraries: libcrypto [42], libcrypt [29], cryptlib [4], LibTomCrypt [7], libgcrypt [6], wolfcrypt [9], and Nettle [8]. These libraries have covered nearly 100% usage cases in our firmware dataset.",,Using API data from seven widely used open-source C/C++ cryptography libraries and rely on their coverage,provides nearly 100% usage in dataset
A18,https://www.usenix.org/conference/raid2019/presentation/zhang-li,CryptoRex,"Therefore, to improve the precision of data-flow analysis (i.e., implicit call relations), we utilize the data segment reference table obtained from Section 3.2 and perform value-set analysis [11] to recover the addresses of indirectly invoked functions.",,Using a reference table and value-set analysis to compute indirect-jump destinations.,Improves precision for implicit call relations
A19,https://www.usenix.org/conference/raid2019/presentation/zhang-li,CryptoRex,"Furthermore, given that loop structures often contain computation-intensive instructions (like increment operations) and have less variable definitions and uses, we flatten the loop structure so that each loop is executed only a few times during data-flow analysis. This operation can significantly reduce the time consumption of loop processing.",,Flattening the loop structure so that each loop is executed only a few times during data-flow analysis,Significantly reduce the time consumption of loop processing
A20,https://www.usenix.org/conference/raid2019/presentation/zhang-li,CryptoRex,"To build data dependence, we employ the use-define chain algorithm of Angr. However, it incurs false negatives at array operation APIs of C libraries. For example, the function strcpy(dest, src) copies the string from the source address to the destination address. However, the data dependency is not built between these two variables. To solve the problem, we implemented a module to simulate the functionality of array operation APIs (e.g., memset() and memcpy()) and build data dependency between related variables.",,"Simulating the functionality of array operation APIs (e.g., memset() and memcpy()) and building data dependency between related variables",Reduces false negatives in taint propagation
A22,https://dl.acm.org/doi/epdf/10.1145/2508859.2516693,CryptoLint,"The main new idea in CryptoLint is to use static program slicing to identify flows between cryptographic keys, initialization vectors, and similar cryptographic material and the cryptographic operations themselves. CryptoLint takes a raw Android binary, disassembles it, and checks for typical cryptographic misuses quickly and accurately.",,"Using static program slicing to identify flows between cryptographic keys, initialization vectors, and similar cryptographic material during analysis",Checks for typical cryptographic misuses quickly and accurately
A24,https://dl.acm.org/doi/epdf/10.1145/2508859.2516693 ,CryptoLint,"While cryptographic security is precisely defined, this paper asks the question whether developers who use cryptographic APIs achieve this notion of security. Using cryptographic primitives correctly can be challenging. In particular, any application that violates one of the following six rules cannot be secure.",,Violating any of the 6 rules mentioned,makes the app insecure
A25,https://dl.acm.org/doi/epdf/10.1145/2508859.2516693 ,CryptoLint,"Similar to existing research (e.g., [25]), we observed the pervasive use of third-party libraries for advertisement and statistics purposes. In order to prevent over-counting, we whitelisted common libraries that use cryptography, as listed in Table 1. CryptoLint discards applications if their only use of cryptographic functionality is confined to these libraries. We assume that the applications we analyze do not actively try to disguise the use of these libraries, and thus, identify these libraries by matching their package names.",Assuming no disguising to package names,Whitelisting common libraries that use cryptography,prevents overcounting during the analysis
A26,https://dl.acm.org/doi/10.1145/3196494.3196538,BinSight,"We show that without a proper contextual knowledge, the  static program slicing approach, employed by both the BinSight and CryptoLint tools, suffers from a significant ratio of functional false positives: a false positive that meets the  formal definition of misuse, yet, does not introduce an exploitable vulnerability.","Crypto can be used for non-confidentiality/integrity (e.g., for obfuscaion purposes)",Using slicing-based detection without context,Produces functional false positives
A27,https://dl.acm.org/doi/10.1145/3196494.3196538,BinSight,"Our attribution approach relies on  package names of classes that contain call to crypto APIs, and crossreferences them with an exhaustive list of third-party libraries in  our datasets. The attribution has to handle obfuscated package  names, in order to correctly map call sites to libraries.",Call-site’s containing class has a package name,Cross-referencing package names with an exhaustive list of third-party libraries during analysis,correctly map call sites to libraries efficiently and effectively
A29,https://dl.acm.org/doi/pdf/10.1145/2382196.2382205,MalloDroid,"The fact that code for insecure SSL is present in an app does not necessarily mean that it is used or that sensitive information is passed along it. Even more detailed automated code analysis, such as control flow analysis, data flow analysis, structural analysis and semantic analysis cannot guarantee that all uses are correctly identified. ",,"Even using more detailed automated code analysis, such as control flow analysis, data flow analysis, structural analysis and semantic analysis",cannot guarantee that all uses are correctly identified
A30,https://ieeexplore.ieee.org/abstract/document/10474052,Cryptolation,"Our algorithm focuses on variable assignment through function depth. However, the breadth of the variable assignments and improper refinement before using the library Astroid is why Cryptolation suffers in these two language features. To improve Recall with these language features, we will update the algorithm to make refinements and remove unnecessary information for those conditions.",,Updating the algorithm to make refinements and remove unnecessary information for those conditions.,improve Recall
A31,https://ieeexplore.ieee.org/document/8115707,CogniCrypt,,,CogniCrypt Eclipse plugin runs analyses in the background continuously,to ensure a secure integration of the generated code into the developer’s workspace
A33,https://ieeexplore.ieee.org/document/8115707,CogniCrypt,,,Implementing the LP11 in C++ and integrating it into CogniCrypt using JNI,improves the efficiency
A34,https://dl.acm.org/doi/pdf/10.1145/3475716.3484195,LICMA,"As our analysis works upon a per-file basis, we reduced our set to only those source code files that include the function calls referenced in our rules, e.g., AES.new (...) . In addition, we filter for production code and ignore test code which should be non-existent during the execution of the application.",,Filtering to files that include the function calls referenced in the rules,keep only the relevant cases
A35,https://ieeexplore.ieee.org/document/9796357,Seader,"In our later template-matching process, these APIs can serve as “anchors” for Seader to efficiently decide whether a program slice is worth further comparison with the template.",,Security API's other than critical ones can serve as anchors to decide whether a program slice is worth further comparison,Reduces unnecessary full template comparisons
A36,https://ieeexplore.ieee.org/document/9796357,Seader,"Second, although Seader infers templates from simple code examples via intra-procedural analysis, we need to match code with templates step-by-step via inter-procedural analysis, so that Seader can find matches even if the program context is more complicated.",,Doing step-by-step inter-procedural matching of code with templates,Enables finding matches even if the program context is more complicated
A37,https://ieeexplore.ieee.org/document/9796357,Seader,"We manually inspected the cases where Seader did not report misuses correctly. We found one reason to explain why Seader did not achieve 100% precision: the ground truth is incomplete, as it labels some instead of all invocations of Random(). We currently consider the extra calls of Random() found by Seader to be false positives, although the actual precision rate is higher.",,Having incomplete ground truth level (labels some instead of all invocations of random()),reduce the precision
A38,https://ieeexplore.ieee.org/document/9796357,Seader,"Seader missed some labeled API misuses, because the corresponding misuse patterns are not covered by our 21 inferred patterns. Some of these missing patterns can be added to Seader if we feed the tool with more code examples.",,Not covering a misuse pattern in the inferred pattern,misses misuses (false negative)
A39,https://dl.acm.org/doi/pdf/10.1145/2897845.2897896,CDRep,"We list the seven security rules that are used in our work, and any application that violates any of those rules cannot be secure",,Violating any of the 7 rules mentioned,makes the app insecure
A40,https://dl.acm.org/doi/pdf/10.1145/2897845.2897896,CDRep,"To identify the misuse in a bytecode, we first examine the instruction that is related to the misuse, called Indicator Instruction. Then, we locate the instruction that causes the misuse, called Root Cause Instruction.
Vulnerabilities are found by first locating indicator instructions (see Section 2) in the decompiled code. Next, for each indicator instruction, CDRep identifies other instructions that the indicator instruction is data dependent on. CDRep then checks all such instructions to identify root causes that correspond to cryptographic misuses.",,"Locating an indicator instruction for a misuse, it can trace bytecode-level data dependencies backward from that instruction (through the variables/values it depends on) to reach the statement(s) that originally introduced the insecure parameter/choice",helps Identify the root cause
A41,https://dl.acm.org/doi/pdf/10.1145/2897845.2897896,CDRep,"Patching speed evaluates the efficiency of our approach; if our approach takes a long time to complete, users are less likely to use it. Size of repaired apps is also an important factor that a↵ects usability; if the size of the patched app increases too much, users are less likely to use it.",,If the patch takes long time or increases size too much,Users less likely to use it.
A42,https://ieeexplore.ieee.org/document/8812114,MutApi,"From the parent paper, ""To improve precision, detectors need to go beyond the naive assumption that a deviation from the most-frequent usage corresponds to a misuse, for example, by building probabilistic models to reason about the likelihood of usage in their respective context"".
To improve precision, the detectors need to go beyond the oversimplified assumption that a deviation from frequent usage patterns is a misuse. An uncommon usage of an API is not necessarily an incorrect usage.",,Treating frequent patterns as correct and deviations as misuses for oversimplification,decreases the precision
A43,https://ieeexplore.ieee.org/document/8812114,MutApi,"From the parent paper, ""To improve recall, detectors need to obtain more correct usage examples, possibly from different sources, and to consider program semantics, such as type hierarchies and implicit dependencies between API usages.""
To improve recall, existing detectors need to mine frequent patterns from more correct API usage examples. However, it is difficult to obtain sufficient correct API usage examples in practice, especially for newly released libraries.",,Mining frequent patterns from more correct API usage examples,improve recall
A44,https://ieeexplore.ieee.org/document/9529806,FireBugs,"FireBugs performs intra-procedural program slicing to only include statements related to the API method of interest. For example, API calls in S1 in the method A.m1() in Figure 7 should be filtered out since they are not related to the method invocation in S3.",,Only including the statements related to the API method of interest during analysis,Reduce noise
A45,https://ieeexplore.ieee.org/document/9529806,FireBugs,"The most devastating breaches of data security have been caused when applications insecurely use cryptographic algorithms. To securely integrate those algorithms into applications, several requirements should be satisfied. For example, the encryption algorithms, the key, and the nonce must be generated by the true-random number generator (TRNG) or the pseudorandom number generator (PRNG) with a secure seed.",,"The encryption algorithms, the key, and the nonce must be generated by the true-random number generator (TRNG) or the pseudorandom number generator (PRNG) with a secure seed",enables secure integration 
A46,https://ieeexplore.ieee.org/document/9529806 ,FireBugs,FireBugs reports feedback to developers describing what is wrong with the implementation and how to fix it by showing correct usages of crypto APIs. The goal of our approach is to help application developers integrate cryptographic components correctly and securely since they are often not cryptographic experts.,,Providing guidance or feedback by showing correct usages to the users,Helps integrate crypto correctly and securely
A47,https://ieeexplore.ieee.org/document/9529806 ,FireBugs,"For common misuse patterns of crypto APIs, we encode common cryptography rules into the pattern representations to help understand and fix the obstacles while using APIs.",,Encoding common cryptography rules into the pattern representations,helps bug detection and program repair for rule violations.
