ruleId,alert_description,verdict,artifact_location,app_package_name,version_code,apk_size,apk_category,sast_tool_name,code_location,3rd_party_library_name
gitlab.find_sec_bugs.CIPHER_INTEGRITY-1,"Cryptographic algorithms provide many different modes of operation, only some of which provide message integrity. Without message integrity it could be possible for an adversary to attempt to tamper with the ciphertext which could lead to compromising the encryption key. Newer algorithms apply message integrity to validate ciphertext has not been tampered with.  Instead of using an algorithm that requires configuring a cipher mode, an algorithm that has built-in message integrity should be used. Consider using `ChaCha20Poly1305` or `AES-256-GCM` instead.  For older applications that don't have support for `ChaCha20Poly1305`, `AES-256-GCM` is recommended, however it has many drawbacks:   - Slower than `ChaCha20Poly1305`.   - Catastrophic failure if nonce values are reused.  Example using `ChaCha20Poly1305`: ``` public encrypt() throws Exception {     chaChaEncryption(""Secret text to encrypt"".getBytes(StandardCharsets.UTF_8)); }  public SecureRandom getSecureRandomDRBG() throws NoSuchAlgorithmException { // Use DRBG according to http://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-90Ar1.pdf     return SecureRandom.getInstance(""DRBG"",             // Security strength in bits (default is 128)             DrbgParameters.instantiation(256,                 // Set prediction resistance and re-seeding                 DrbgParameters.Capability.PR_AND_RESEED,                 // Set the personalization string (optional, not necessary)                 ""some_personalization_string"".getBytes()             )     ); }  public Cipher getChaCha20Poly1305(int mode, byte[] ivKey, byte[] secretKey) throws NoSuchAlgorithmException, NoSuchPaddingException, InvalidKeyException, InvalidAlgorithmParameterException  {     // Get a DRBG random number generator instance     SecureRandom random = getSecureRandomDRBG();     // Create a ChaCha20-Poly1305 cipher instance     Cipher chaChaCipher = Cipher.getInstance(""ChaCha20-Poly1305/None/NoPadding"");     // Create our parameterSpec using our ivKey     AlgorithmParameterSpec parameterSpec = new IvParameterSpec(ivKey);     // Create a SecretKeySpec using our secretKey     SecretKeySpec secretKeySpec = new SecretKeySpec(secretKey, ""ChaCha20"");     // Initialize and return the cipher for the provided mode     chaChaCipher.init(mode, secretKeySpec, parameterSpec, random);     return chaChaCipher; }  public void chaChaEncryption(byte[] plainText) throws NoSuchAlgorithmException, NoSuchPaddingException, InvalidKeyException, InvalidAlgorithmParameterException {     // Get a DRBG random number generator instance     SecureRandom random = getSecureRandomDRBG();     // Create secretKey     byte[] secretKey = new byte[32];     random.nextBytes(secretKey);     // Create an IV Key     byte[] ivKey = new byte[12];     random.nextBytes(ivKey);      // Create a chaCha encryption cipher instance     Cipher chaChaEncryptor = getChaCha20Poly1305(Cipher.ENCRYPT_MODE, ivKey, secretKey);      // Encrypt the text using ChaCha20Poly1305     byte[] cipherText = null;     try {         cipherText = chaChaEncryptor.doFinal(plainText);     } catch (IllegalBlockSizeException | BadPaddingException e) {         System.out.println(""failed to encrypt text"");         return;     }     System.out.println(""encrypted: "" + Base64.getEncoder().encodeToString(cipherText));       // Create a chaCha decryption cipher instance     Cipher chaChaDecryptor = getChaCha20Poly1305(Cipher.DECRYPT_MODE, ivKey, secretKey);      // Decrypt the text     byte[] decryptedText = null;     try {         decryptedText = chaChaDecryptor.doFinal(cipherText);     } catch (IllegalBlockSizeException | BadPaddingException e) {         System.out.println(""failed to decrypt text"");         return;     }     System.out.println(""decrypted: "" + new String(decryptedText, StandardCharsets.UTF_8)); } ```  For more information on Java Cryptography see: https://docs.oracle.com/en/java/javase/15/security/java-cryptography-architecture-jca-reference-guide.html",True,sources/ch/gooods/auth/ConfirmFragment.java,ch.gooods,358,7676149,100-500,semgrep,developer_written,not_applicable
java.lang.security.audit.cbc-padding-oracle.cbc-padding-oracle,"Using CBC with PKCS5Padding is susceptible to padding oracle attacks. A malicious actor could discern the difference between plaintext with valid or invalid padding. Further, CBC mode does not include any integrity checks. Use 'AES/GCM/NoPadding' instead.",True,sources/ch/gooods/auth/ConfirmFragment.java,ch.gooods,358,7676149,100-500,semgrep,developer_written,not_applicable
java.lang.security.audit.crypto.weak-random.weak-random,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead.",False,sources/com/google/android/gms/internal/measurement/zzef.java,ch.gooods,358,7676149,100-500,semgrep,Android,com.google.android.gms::play-services-measurement-base
java.lang.security.audit.crypto.ecb-cipher.ecb-cipher,"Cipher in ECB mode is detected. ECB mode produces the same output for the same input each time which allows an attacker to intercept and replay the data. Further, ECB mode does not provide any integrity checking. See https://find-sec-bugs.github.io/bugs.htm#CIPHER_INTEGRITY.",False,sources/io/snabble/sdk/payment/PaymentCredentials.java,ch.gooods,358,7676149,100-500,semgrep,others,unknown
java.lang.security.audit.crypto.use-of-sha1.use-of-sha1,"Detected SHA1 hash algorithm which is considered insecure. SHA1 is not collision resistant and is therefore not suitable as a cryptographic signature. Instead, use PBKDF2 for password hashing or SHA256 or SHA512 for other hash function applications.",True,sources/io/snabble/sdk/utils/Utils.java,ch.gooods,358,7676149,100-500,semgrep,others,unknown
java.lang.security.audit.crypto.no-static-initialization-vector.no-static-initialization-vector,"Initialization Vectors (IVs) for block ciphers should be randomly generated each time they are used. Using a static IV means the same plaintext encrypts to the same ciphertext every time, weakening the strength of the encryption.",True,sources/io/snabble/sdk/utils/security/KeyStoreCipherJellyBeanMR2.java,ch.gooods,358,7676149,100-500,semgrep,others,unknown
gitlab.find_sec_bugs.CIPHER_INTEGRITY-1,"Cryptographic algorithms provide many different modes of operation, only some of which provide message integrity. Without message integrity it could be possible for an adversary to attempt to tamper with the ciphertext which could lead to compromising the encryption key. Newer algorithms apply message integrity to validate ciphertext has not been tampered with.  Instead of using an algorithm that requires configuring a cipher mode, an algorithm that has built-in message integrity should be used. Consider using `ChaCha20Poly1305` or `AES-256-GCM` instead.  For older applications that don't have support for `ChaCha20Poly1305`, `AES-256-GCM` is recommended, however it has many drawbacks:   - Slower than `ChaCha20Poly1305`.   - Catastrophic failure if nonce values are reused.  Example using `ChaCha20Poly1305`: ``` public encrypt() throws Exception {     chaChaEncryption(""Secret text to encrypt"".getBytes(StandardCharsets.UTF_8)); }  public SecureRandom getSecureRandomDRBG() throws NoSuchAlgorithmException { // Use DRBG according to http://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-90Ar1.pdf     return SecureRandom.getInstance(""DRBG"",             // Security strength in bits (default is 128)             DrbgParameters.instantiation(256,                 // Set prediction resistance and re-seeding                 DrbgParameters.Capability.PR_AND_RESEED,                 // Set the personalization string (optional, not necessary)                 ""some_personalization_string"".getBytes()             )     ); }  public Cipher getChaCha20Poly1305(int mode, byte[] ivKey, byte[] secretKey) throws NoSuchAlgorithmException, NoSuchPaddingException, InvalidKeyException, InvalidAlgorithmParameterException  {     // Get a DRBG random number generator instance     SecureRandom random = getSecureRandomDRBG();     // Create a ChaCha20-Poly1305 cipher instance     Cipher chaChaCipher = Cipher.getInstance(""ChaCha20-Poly1305/None/NoPadding"");     // Create our parameterSpec using our ivKey     AlgorithmParameterSpec parameterSpec = new IvParameterSpec(ivKey);     // Create a SecretKeySpec using our secretKey     SecretKeySpec secretKeySpec = new SecretKeySpec(secretKey, ""ChaCha20"");     // Initialize and return the cipher for the provided mode     chaChaCipher.init(mode, secretKeySpec, parameterSpec, random);     return chaChaCipher; }  public void chaChaEncryption(byte[] plainText) throws NoSuchAlgorithmException, NoSuchPaddingException, InvalidKeyException, InvalidAlgorithmParameterException {     // Get a DRBG random number generator instance     SecureRandom random = getSecureRandomDRBG();     // Create secretKey     byte[] secretKey = new byte[32];     random.nextBytes(secretKey);     // Create an IV Key     byte[] ivKey = new byte[12];     random.nextBytes(ivKey);      // Create a chaCha encryption cipher instance     Cipher chaChaEncryptor = getChaCha20Poly1305(Cipher.ENCRYPT_MODE, ivKey, secretKey);      // Encrypt the text using ChaCha20Poly1305     byte[] cipherText = null;     try {         cipherText = chaChaEncryptor.doFinal(plainText);     } catch (IllegalBlockSizeException | BadPaddingException e) {         System.out.println(""failed to encrypt text"");         return;     }     System.out.println(""encrypted: "" + Base64.getEncoder().encodeToString(cipherText));       // Create a chaCha decryption cipher instance     Cipher chaChaDecryptor = getChaCha20Poly1305(Cipher.DECRYPT_MODE, ivKey, secretKey);      // Decrypt the text     byte[] decryptedText = null;     try {         decryptedText = chaChaDecryptor.doFinal(cipherText);     } catch (IllegalBlockSizeException | BadPaddingException e) {         System.out.println(""failed to decrypt text"");         return;     }     System.out.println(""decrypted: "" + new String(decryptedText, StandardCharsets.UTF_8)); } ```  For more information on Java Cryptography see: https://docs.oracle.com/en/java/javase/15/security/java-cryptography-architecture-jca-reference-guide.html",True,sources/io/snabble/sdk/utils/security/KeyStoreCipherJellyBeanMR2.java,ch.gooods,358,7676149,100-500,semgrep,others,unknown
gitlab.find_sec_bugs.CIPHER_INTEGRITY-1,"Cryptographic algorithms provide many different modes of operation, only some of which provide message integrity. Without message integrity it could be possible for an adversary to attempt to tamper with the ciphertext which could lead to compromising the encryption key. Newer algorithms apply message integrity to validate ciphertext has not been tampered with.  Instead of using an algorithm that requires configuring a cipher mode, an algorithm that has built-in message integrity should be used. Consider using `ChaCha20Poly1305` or `AES-256-GCM` instead.  For older applications that don't have support for `ChaCha20Poly1305`, `AES-256-GCM` is recommended, however it has many drawbacks:   - Slower than `ChaCha20Poly1305`.   - Catastrophic failure if nonce values are reused.  Example using `ChaCha20Poly1305`: ``` public encrypt() throws Exception {     chaChaEncryption(""Secret text to encrypt"".getBytes(StandardCharsets.UTF_8)); }  public SecureRandom getSecureRandomDRBG() throws NoSuchAlgorithmException { // Use DRBG according to http://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-90Ar1.pdf     return SecureRandom.getInstance(""DRBG"",             // Security strength in bits (default is 128)             DrbgParameters.instantiation(256,                 // Set prediction resistance and re-seeding                 DrbgParameters.Capability.PR_AND_RESEED,                 // Set the personalization string (optional, not necessary)                 ""some_personalization_string"".getBytes()             )     ); }  public Cipher getChaCha20Poly1305(int mode, byte[] ivKey, byte[] secretKey) throws NoSuchAlgorithmException, NoSuchPaddingException, InvalidKeyException, InvalidAlgorithmParameterException  {     // Get a DRBG random number generator instance     SecureRandom random = getSecureRandomDRBG();     // Create a ChaCha20-Poly1305 cipher instance     Cipher chaChaCipher = Cipher.getInstance(""ChaCha20-Poly1305/None/NoPadding"");     // Create our parameterSpec using our ivKey     AlgorithmParameterSpec parameterSpec = new IvParameterSpec(ivKey);     // Create a SecretKeySpec using our secretKey     SecretKeySpec secretKeySpec = new SecretKeySpec(secretKey, ""ChaCha20"");     // Initialize and return the cipher for the provided mode     chaChaCipher.init(mode, secretKeySpec, parameterSpec, random);     return chaChaCipher; }  public void chaChaEncryption(byte[] plainText) throws NoSuchAlgorithmException, NoSuchPaddingException, InvalidKeyException, InvalidAlgorithmParameterException {     // Get a DRBG random number generator instance     SecureRandom random = getSecureRandomDRBG();     // Create secretKey     byte[] secretKey = new byte[32];     random.nextBytes(secretKey);     // Create an IV Key     byte[] ivKey = new byte[12];     random.nextBytes(ivKey);      // Create a chaCha encryption cipher instance     Cipher chaChaEncryptor = getChaCha20Poly1305(Cipher.ENCRYPT_MODE, ivKey, secretKey);      // Encrypt the text using ChaCha20Poly1305     byte[] cipherText = null;     try {         cipherText = chaChaEncryptor.doFinal(plainText);     } catch (IllegalBlockSizeException | BadPaddingException e) {         System.out.println(""failed to encrypt text"");         return;     }     System.out.println(""encrypted: "" + Base64.getEncoder().encodeToString(cipherText));       // Create a chaCha decryption cipher instance     Cipher chaChaDecryptor = getChaCha20Poly1305(Cipher.DECRYPT_MODE, ivKey, secretKey);      // Decrypt the text     byte[] decryptedText = null;     try {         decryptedText = chaChaDecryptor.doFinal(cipherText);     } catch (IllegalBlockSizeException | BadPaddingException e) {         System.out.println(""failed to decrypt text"");         return;     }     System.out.println(""decrypted: "" + new String(decryptedText, StandardCharsets.UTF_8)); } ```  For more information on Java Cryptography see: https://docs.oracle.com/en/java/javase/15/security/java-cryptography-architecture-jca-reference-guide.html",True,sources/io/snabble/sdk/utils/security/KeyStoreCipherJellyBeanMR2.java,ch.gooods,358,7676149,100-500,semgrep,others,unknown
java.lang.security.audit.crypto.no-static-initialization-vector.no-static-initialization-vector,"Initialization Vectors (IVs) for block ciphers should be randomly generated each time they are used. Using a static IV means the same plaintext encrypts to the same ciphertext every time, weakening the strength of the encryption.",True,sources/io/snabble/sdk/utils/security/KeyStoreCipherMarshmallow.java,ch.gooods,358,7676149,100-500,semgrep,others,unknown
gitlab.find_sec_bugs.CIPHER_INTEGRITY-1,"Cryptographic algorithms provide many different modes of operation, only some of which provide message integrity. Without message integrity it could be possible for an adversary to attempt to tamper with the ciphertext which could lead to compromising the encryption key. Newer algorithms apply message integrity to validate ciphertext has not been tampered with.  Instead of using an algorithm that requires configuring a cipher mode, an algorithm that has built-in message integrity should be used. Consider using `ChaCha20Poly1305` or `AES-256-GCM` instead.  For older applications that don't have support for `ChaCha20Poly1305`, `AES-256-GCM` is recommended, however it has many drawbacks:   - Slower than `ChaCha20Poly1305`.   - Catastrophic failure if nonce values are reused.  Example using `ChaCha20Poly1305`: ``` public encrypt() throws Exception {     chaChaEncryption(""Secret text to encrypt"".getBytes(StandardCharsets.UTF_8)); }  public SecureRandom getSecureRandomDRBG() throws NoSuchAlgorithmException { // Use DRBG according to http://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-90Ar1.pdf     return SecureRandom.getInstance(""DRBG"",             // Security strength in bits (default is 128)             DrbgParameters.instantiation(256,                 // Set prediction resistance and re-seeding                 DrbgParameters.Capability.PR_AND_RESEED,                 // Set the personalization string (optional, not necessary)                 ""some_personalization_string"".getBytes()             )     ); }  public Cipher getChaCha20Poly1305(int mode, byte[] ivKey, byte[] secretKey) throws NoSuchAlgorithmException, NoSuchPaddingException, InvalidKeyException, InvalidAlgorithmParameterException  {     // Get a DRBG random number generator instance     SecureRandom random = getSecureRandomDRBG();     // Create a ChaCha20-Poly1305 cipher instance     Cipher chaChaCipher = Cipher.getInstance(""ChaCha20-Poly1305/None/NoPadding"");     // Create our parameterSpec using our ivKey     AlgorithmParameterSpec parameterSpec = new IvParameterSpec(ivKey);     // Create a SecretKeySpec using our secretKey     SecretKeySpec secretKeySpec = new SecretKeySpec(secretKey, ""ChaCha20"");     // Initialize and return the cipher for the provided mode     chaChaCipher.init(mode, secretKeySpec, parameterSpec, random);     return chaChaCipher; }  public void chaChaEncryption(byte[] plainText) throws NoSuchAlgorithmException, NoSuchPaddingException, InvalidKeyException, InvalidAlgorithmParameterException {     // Get a DRBG random number generator instance     SecureRandom random = getSecureRandomDRBG();     // Create secretKey     byte[] secretKey = new byte[32];     random.nextBytes(secretKey);     // Create an IV Key     byte[] ivKey = new byte[12];     random.nextBytes(ivKey);      // Create a chaCha encryption cipher instance     Cipher chaChaEncryptor = getChaCha20Poly1305(Cipher.ENCRYPT_MODE, ivKey, secretKey);      // Encrypt the text using ChaCha20Poly1305     byte[] cipherText = null;     try {         cipherText = chaChaEncryptor.doFinal(plainText);     } catch (IllegalBlockSizeException | BadPaddingException e) {         System.out.println(""failed to encrypt text"");         return;     }     System.out.println(""encrypted: "" + Base64.getEncoder().encodeToString(cipherText));       // Create a chaCha decryption cipher instance     Cipher chaChaDecryptor = getChaCha20Poly1305(Cipher.DECRYPT_MODE, ivKey, secretKey);      // Decrypt the text     byte[] decryptedText = null;     try {         decryptedText = chaChaDecryptor.doFinal(cipherText);     } catch (IllegalBlockSizeException | BadPaddingException e) {         System.out.println(""failed to decrypt text"");         return;     }     System.out.println(""decrypted: "" + new String(decryptedText, StandardCharsets.UTF_8)); } ```  For more information on Java Cryptography see: https://docs.oracle.com/en/java/javase/15/security/java-cryptography-architecture-jca-reference-guide.html",True,sources/io/snabble/sdk/utils/security/KeyStoreCipherMarshmallow.java,ch.gooods,358,7676149,100-500,semgrep,others,unknown
