alert_description,verdict,artifact_location,app_package_name,version_code,apk_category,sast_tool_name,code_location,3rd_party_library_name
"Constraint ""algorithm in {SHA-256, SHA-384, SHA-512}"" on object $r1 is violated due to the following reason:\n|- First parameter ""varReplacer12592"" with value ""SHA-1"" should be any of {SHA-256, SHA-384, SHA-512} (extracted @ varReplacer12592 = ""SHA-1"" @ line -1)",True,com/applovin/impl/sdk/utils/m.java,all.language.translator.hub.malayalamtosamoantranslator,1,<100,CogniCrypt,others,unknown
"Constraint ""algorithm in {SHA-256, SHA-384, SHA-512}"" on object $r2 is violated due to the following reason:\n|- First parameter ""varReplacer5064"" with value ""SHA-1"" should be any of {SHA-256, SHA-384, SHA-512} (extracted @ varReplacer5064 = ""SHA-1"" @ line -1)",True,com/applovin/impl/sdk/utils/StringUtils.java,all.language.translator.hub.malayalamtosamoantranslator,1,<100,CogniCrypt,others,unknown
"Constraint ""algorithm in {SHA-256, SHA-384, SHA-512}"" on object $r5 is violated due to the following reason:\n|- First parameter ""varReplacer8677"" with value ""MD5"" should be any of {SHA-256, SHA-384, SHA-512} (extracted @ varReplacer8677 = ""MD5"" @ line 1)",True,com/google/android/gms/internal/ads/zzcgg.java,all.language.translator.hub.malayalamtosamoantranslator,1,<100,CogniCrypt,Android,com.google.android.gms::play-services-ads-base
"Constraint ""algorithm in {SHA-256, SHA-384, SHA-512}"" on object $r7 is violated due to the following reason:\n|- First parameter ""varReplacer8090"" with value ""MD5"" should be any of {SHA-256, SHA-384, SHA-512} (extracted @ varReplacer8090 = ""MD5"" @ line 4)",True,com/google/android/gms/internal/ads/zzcgg.java,all.language.translator.hub.malayalamtosamoantranslator,1,<100,CogniCrypt,Android,com.google.android.gms::play-services-ads-base
"Constraint ""algorithm in {SHA-256, SHA-384, SHA-512}"" on object $r4 is violated due to the following reason:\n|- First parameter ""varReplacer1099"" with value ""MD5"" should be any of {SHA-256, SHA-384, SHA-512} (extracted @ varReplacer1099 = ""MD5"" @ line -1)",True,com/google/android/gms/internal/zzaiy.java,aplus.droitfiscal,37,5k-10k,CogniCrypt,Android,com.google.android.gms::play-services-clearcut
"Constraint ""algorithm in {SHA-256, SHA-384, SHA-512}"" on object $r4 is violated due to the following reason:\n|- First parameter ""varReplacer942"" with value ""MD5"" should be any of {SHA-256, SHA-384, SHA-512} (extracted @ varReplacer942 = ""MD5"" @ line -1)",True,com/google/android/gms/internal/zzaiy.java,aplus.strafrecht,37,<100,CogniCrypt,Android,com.google.android.gms::play-services-clearcut
First parameter was not properly generated as generatedKeyStore,False,s7/m.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
First parameter was not properly generated as generatedKeyStore,False,s7/h.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
"Constraint ""protocol in {TLSv1.2, TLSv1.3}"" on object $r1 is violated due to the following reason:\n|- First parameter ""varReplacer12714"" with value ""TLS"" should be any of {TLSv1.2, TLSv1.3} (extracted @ varReplacer12714 = ""TLS"" @ line 2)",True,s7/h.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
Third parameter was not properly generated as randomized,False,s7/h.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
"Constraint ""protocol in {TLSv1.2, TLSv1.3}"" on object $r1 is violated due to the following reason:\n|- First parameter ""varReplacer12718"" with value ""TLS"" should be any of {TLSv1.2, TLSv1.3} (extracted @ varReplacer12718 = ""TLS"" @ line 2)",True,s7/e.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
Second parameter was not properly generated as generatedTrustManagers,True,s7/n.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
First parameter was not properly generated as generatedKeyStore,False,s7/e.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
"Constraint ""algorithm in {SHA-256, SHA-384, SHA-512}"" on object $r0 is violated due to the following reason:\n|- First parameter ""varReplacer18578"" with value ""MD5"" should be any of {SHA-256, SHA-384, SHA-512} (extracted @ varReplacer18578 = ""MD5"" @ line 6)",True,X2/x1.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
Second parameter was not properly generated as generatedTrustManagers,False,I5/l.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
Second parameter was not properly generated as generatedTrustManagers,True,s7/h.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
First parameter was not properly generated as generatedKeyManagers,False,s7/n.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
First parameter was not properly generated as generatedKeyManagers,False,s7/h.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
First parameter was not properly generated as generatedKeyManagers,False,s7/n.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
First parameter was not properly generated as generatedKeyManagers,False,I5/l.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
Third parameter was not properly generated as randomized,False,s7/n.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
First parameter was not properly generated as generatedKeyManagers,False,s7/n.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
Third parameter was not properly generated as randomized,False,s7/n.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
Third parameter was not properly generated as randomized,False,s7/n.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
Second parameter was not properly generated as generatedTrustManagers,True,s7/n.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
First parameter was not properly generated as generatedKeyManagers,False,s7/n.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
Second parameter was not properly generated as generatedTrustManagers,True,s7/n.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
"Constraint ""protocol in {TLSv1.2, TLSv1.3}"" on object $r1 is violated due to the following reason:\n|- First parameter ""varReplacer12716"" with value ""TLS"" should be any of {TLSv1.2, TLSv1.3} (extracted @ varReplacer12716 = ""TLS"" @ line 2)",True,s7/n.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
First parameter was not properly generated as generatedKeyStore,False,s7/n.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
Third parameter was not properly generated as randomized,False,s7/n.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
Second parameter was not properly generated as generatedTrustManagers,True,s7/n.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
Third parameter was not properly generated as randomized,False,I5/l.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
"Constraint ""protocol in {TLSv1.2, TLSv1.3}"" on object $r27 is violated due to the following reason:\n|- First parameter ""varReplacer5213"" with value ""TLS"" should be any of {TLSv1.2, TLSv1.3} (extracted @ varReplacer5213 = ""TLS"" @ line 275)",True,I5/l.java,app.medicalid.free,959,500k-1M,CogniCrypt,obfuscated,obfuscated
"Constraint ""algorithm in {SHA-256, SHA-384, SHA-512}"" on object $r7 is violated due to the following reason:\n|- First parameter ""varReplacer537"" with value ""MD5"" should be any of {SHA-256, SHA-384, SHA-512} (extracted @ varReplacer537 = ""MD5"" @ line 4)",True,com/google/android/gms/ads/internal/util/client/zzf.java,appinventor.ai_mmfrutos7878.Ancleaner,188,>5M,CogniCrypt,Android,com.google.android.gms::play-services-ads-base
"Constraint ""algorithm in {SHA-256, SHA-384, SHA-512}"" on object $r2 is violated due to the following reason:\n|- First parameter ""varReplacer11691"" with value ""SHA-1"" should be any of {SHA-256, SHA-384, SHA-512} (extracted @ varReplacer11691 = ""SHA-1"" @ line 11)",True,com/applovin/impl/sdk/utils/StringUtils.java,binaural.studymusic.brainwave.focusmusic.binauralbeats,32,500k-1M,CogniCrypt,others,unknown
"Constraint ""algorithm in {SHA-256, SHA-384, SHA-512}"" on object $r2 is violated due to the following reason:\n|- First parameter ""varReplacer17166"" with value ""SHA-1"" should be any of {SHA-256, SHA-384, SHA-512} (extracted @ varReplacer17166 = ""SHA-1"" @ line 144)",True,com/applovin/impl/vi.java,binaural.studymusic.brainwave.focusmusic.binauralbeats,32,500k-1M,CogniCrypt,others,unknown
"Constraint ""algorithm in {SHA-256, SHA-384, SHA-512}"" on object $r5 is violated due to the following reason:\n|- First parameter ""varReplacer19597"" with value ""MD5"" should be any of {SHA-256, SHA-384, SHA-512} (extracted @ varReplacer19597 = ""MD5"" @ line 7)",True,com/google/android/gms/internal/consent_sdk/zzcl.java,binaural.studymusic.brainwave.focusmusic.binauralbeats,32,500k-1M,CogniCrypt,Utilities,Gson
First parameter was not properly generated as generatedKeyStore,False,r5/v.java,bosmap.magnum.me.il2bosmap,16,5k-10k,CogniCrypt,obfuscated,obfuscated
Second parameter was not properly generated as generatedTrustManagers,False,r5/v.java,bosmap.magnum.me.il2bosmap,16,5k-10k,CogniCrypt,obfuscated,obfuscated
"Constraint ""protocol in {TLSv1.2, TLSv1.3}"" on object $r3 is violated due to the following reason:\n|- First parameter ""varReplacer2390"" with value ""TLS"" should be any of {TLSv1.2, TLSv1.3} (extracted @ varReplacer2390 = ""TLS"" @ line -1)",True,r5/v.java,bosmap.magnum.me.il2bosmap,16,5k-10k,CogniCrypt,obfuscated,obfuscated
Third parameter was not properly generated as randomized,False,r5/v.java,bosmap.magnum.me.il2bosmap,16,5k-10k,CogniCrypt,obfuscated,obfuscated
First parameter was not properly generated as generatedKeyManagers,False,r5/v.java,bosmap.magnum.me.il2bosmap,16,5k-10k,CogniCrypt,obfuscated,obfuscated
"Constraint ""algorithm in {SHA-256, SHA-384, SHA-512}"" on object $r4 is violated due to the following reason:\n|- First parameter ""varReplacer12864"" with value ""MD5"" should be any of {SHA-256, SHA-384, SHA-512} (extracted @ varReplacer12864 = ""MD5"" @ line 4)",True,j5/d$a.java,br.com.mobits.mobitsplaza.app.praiadacosta,47,5k-10k,CogniCrypt,obfuscated,obfuscated
"Constraint ""algorithm in {SHA-256, SHA-384, SHA-512}"" on object $r19 is violated due to the following reason:\n|- First parameter ""varReplacer14074"" with value ""SHA1"" should be any of {SHA-256, SHA-384, SHA-512} (extracted @ varReplacer14074 = ""SHA1"" @ line 122)",True,r5/k.java,br.com.mobits.mobitsplaza.app.praiadacosta,47,5k-10k,CogniCrypt,obfuscated,obfuscated
First parameter was not properly generated as preparedKeyMaterial,True,u3/m.java,br.com.mobits.mobitsplaza.app.praiadacosta,47,5k-10k,CogniCrypt,obfuscated,obfuscated
"Constraint ""keyAlgorithm in {AES, HmacSHA256, HmacSHA384, HmacSHA512}"" on object $r24 is violated due to the following reason:\n|- Second parameter ""varReplacer21684"" with value ""RAW"" should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512} (extracted @ varReplacer21684 = ""RAW"" @ line 96)",True,u3/m.java,br.com.mobits.mobitsplaza.app.praiadacosta,47,5k-10k,CogniCrypt,obfuscated,obfuscated
Second parameter parameter was not properly generated as generatedKey OR generatedPubkey OR generatedPrivkey,True,u3/m.java,br.com.mobits.mobitsplaza.app.praiadacosta,47,5k-10k,CogniCrypt,obfuscated,obfuscated
First parameter was not properly generated as randomized,True,u3/m.java,br.com.mobits.mobitsplaza.app.praiadacosta,47,5k-10k,CogniCrypt,obfuscated,obfuscated
Second parameter was not properly generated as generatedTrustManagers,False,gd/u.java,br.com.mobits.mobitsplaza.app.praiadacosta,47,5k-10k,CogniCrypt,obfuscated,obfuscated
"Constraint ""protocol in {TLSv1.2, TLSv1.3}"" on object $r2 is violated due to the following reason:\n|- First parameter ""varReplacer11188"" with value ""TLS"" should be any of {TLSv1.2, TLSv1.3} (extracted @ varReplacer11188 = ""TLS"" @ line 6)",True,od/b.java,br.com.mobits.mobitsplaza.app.praiadacosta,47,5k-10k,CogniCrypt,obfuscated,obfuscated
"Constraint ""protocol in {TLSv1.2, TLSv1.3}"" on object $r2 is violated due to the following reason:\n|- First parameter ""varReplacer11184"" with value ""TLS"" should be any of {TLSv1.2, TLSv1.3} (extracted @ varReplacer11184 = ""TLS"" @ line 2)",True,od/e.java,br.com.mobits.mobitsplaza.app.praiadacosta,47,5k-10k,CogniCrypt,obfuscated,obfuscated
"Constraint ""alg(transformation) in {AES} => mode(transformation) in {GCM, CTR, CTS, CFB, OFB}"" on object $r9 is violated due to the following reason:\n|- Constraint ""alg(transformation) in {AES} => mode(transformation) in {GCM, CTR, CTS, CFB, OFB}"" evaluates to <false>:\n\t|- The left side ""alg(transformation) in {AES}"" evaluates to <true>:\n\t\t|- First parameter ""varReplacer21678"" (transformation) with value ""AES/CBC/NoPadding"" satisfies the constraint in class u3.m @ $r9 = getInstance(varReplacer21678) @ line 8\n\t|- The right side ""mode(transformation) in {GCM, CTR, CTS, CFB, OFB}"" evaluates to <false>:\n\t\t|- First parameter ""varReplacer21678"" (transformation) with value ""AES/CBC/NoPadding"" violates the constraint in class u3.m @ $r9 = getInstance(varReplacer21678) @ line 8",True,u3/m.java,br.com.mobits.mobitsplaza.app.praiadacosta,47,5k-10k,CogniCrypt,obfuscated,obfuscated
"Constraint ""algorithm in {SHA-256, SHA-384, SHA-512}"" on object $r3 is violated due to the following reason:\n|- First parameter ""$r1"" with value ""MD5"" should be any of {SHA-256, SHA-384, SHA-512} (extracted @ varReplacer26070 = ""MD5"" @ line 53)\n|- First parameter ""$r1"" with value ""SHA-1"" should be any of {SHA-256, SHA-384, SHA-512} (extracted @ varReplacer11918 = ""SHA-1"" @ line 73)",False,x5/k0.java,br.com.mobits.mobitsplaza.app.praiadacosta,47,5k-10k,CogniCrypt,obfuscated,obfuscated
First parameter was not properly generated as generatedKeyManagers,False,gd/u.java,br.com.mobits.mobitsplaza.app.praiadacosta,47,5k-10k,CogniCrypt,obfuscated,obfuscated
"Constraint ""algorithm in {SHA-256, SHA-384, SHA-512}"" on object $r2 is violated due to the following reason:\n|- First parameter ""varReplacer14114"" with value ""MD5"" should be any of {SHA-256, SHA-384, SHA-512} (extracted @ varReplacer14114 = ""MD5"" @ line 24)",True,r5/i.java,br.com.mobits.mobitsplaza.app.praiadacosta,47,5k-10k,CogniCrypt,obfuscated,obfuscated
Second parameter was not properly generated as generatedTrustManagers,False,gd/u.java,br.com.mobits.mobitsplaza.app.praiadacosta,47,5k-10k,CogniCrypt,obfuscated,obfuscated
Third parameter was not properly generated as randomized,False,gd/u.java,br.com.mobits.mobitsplaza.app.praiadacosta,47,5k-10k,CogniCrypt,obfuscated,obfuscated
First parameter was not properly generated as generatedKeyStore,False,gd/u.java,br.com.mobits.mobitsplaza.app.praiadacosta,47,5k-10k,CogniCrypt,obfuscated,obfuscated
First parameter was not properly generated as generatedKeyManagers,False,gd/u.java,br.com.mobits.mobitsplaza.app.praiadacosta,47,5k-10k,CogniCrypt,obfuscated,obfuscated
Third parameter was not properly generated as randomized,False,gd/u.java,br.com.mobits.mobitsplaza.app.praiadacosta,47,5k-10k,CogniCrypt,obfuscated,obfuscated
Third parameter was not properly generated as randomized,False,okhttp3/internal/platform/Platform.java,br.lgfelicio,9268,1M-5M,CogniCrypt,Utilities,OkHttp
Second parameter was not properly generated as generatedTrustManagers,True,okhttp3/internal/platform/Platform.java,br.lgfelicio,9268,1M-5M,CogniCrypt,Utilities,OkHttp
Second parameter was not properly generated as generatedTrustManagers,True,okhttp3/internal/platform/Platform.java,br.lgfelicio,9268,1M-5M,CogniCrypt,Utilities,OkHttp
First parameter was not properly generated as generatedKeyManagers,False,okhttp3/internal/platform/Platform.java,br.lgfelicio,9268,1M-5M,CogniCrypt,Utilities,OkHttp
First parameter was not properly generated as generatedKeyManagers,False,okhttp3/internal/platform/Platform.java,br.lgfelicio,9268,1M-5M,CogniCrypt,Utilities,OkHttp
Third parameter was not properly generated as randomized,False,okhttp3/internal/platform/Platform.java,br.lgfelicio,9268,1M-5M,CogniCrypt,Utilities,OkHttp
Third parameter was not properly generated as randomized,False,okhttp3/internal/platform/Platform.java,br.lgfelicio,9268,1M-5M,CogniCrypt,Utilities,OkHttp
First parameter was not properly generated as generatedKeyStore,False,okhttp3/internal/platform/ConscryptPlatform.java,br.lgfelicio,9268,1M-5M,CogniCrypt,Utilities,OkHttp
"Constraint ""algorithm in {SHA-256, SHA-384, SHA-512}"" on object $r1 is violated due to the following reason:\n|- First parameter ""varReplacer23921"" with value ""MD5"" should be any of {SHA-256, SHA-384, SHA-512} (extracted @ varReplacer23921 = ""MD5"" @ line 1)",True,q50/c.java,br.lgfelicio,9268,1M-5M,CogniCrypt,Android,timessquare
First parameter was not properly generated as generatedKeyManagers,False,okhttp3/internal/platform/ConscryptPlatform.java,br.lgfelicio,9268,1M-5M,CogniCrypt,Utilities,OkHttp
Second parameter was not properly generated as generatedTrustManagers,True,okhttp3/internal/platform/ConscryptPlatform.java,br.lgfelicio,9268,1M-5M,CogniCrypt,Utilities,OkHttp
Third parameter was not properly generated as randomized,False,okhttp3/internal/platform/ConscryptPlatform.java,br.lgfelicio,9268,1M-5M,CogniCrypt,Utilities,OkHttp
"Constraint ""protocol in {TLSv1.2, TLSv1.3}"" on object $r1 is violated due to the following reason:\n|- First parameter ""varReplacer14822"" with value ""TLS"" should be any of {TLSv1.2, TLSv1.3} (extracted @ varReplacer14822 = ""TLS"" @ line -1)",True,okhttp3/internal/platform/BouncyCastlePlatform.java,br.lgfelicio,9268,1M-5M,CogniCrypt,Utilities,OkHttp
First parameter was not properly generated as generatedKeyStore,False,okhttp3/internal/platform/BouncyCastlePlatform.java,br.lgfelicio,9268,1M-5M,CogniCrypt,Utilities,OkHttp
First parameter was not properly generated as preparedKeyMaterial,True,com/facetec/sdk/x2.java,br.lgfelicio,9268,1M-5M,CogniCrypt,others,unknown
First parameter was not properly generated as generatedKey,True,com/facetec/sdk/x2.java,br.lgfelicio,9268,1M-5M,CogniCrypt,others,unknown
Second parameter was not properly generated as generatedTrustManagers,True,okhttp3/internal/platform/Platform.java,br.lgfelicio,9268,1M-5M,CogniCrypt,Utilities,OkHttp
"Constraint ""protocol in {TLSv1.2, TLSv1.3}"" on object $r1 is violated due to the following reason:\n|- First parameter ""varReplacer14816"" with value ""TLS"" should be any of {TLSv1.2, TLSv1.3} (extracted @ varReplacer14816 = ""TLS"" @ line -1)",True,okhttp3/internal/platform/ConscryptPlatform.java,br.lgfelicio,9268,1M-5M,CogniCrypt,Utilities,OkHttp
